InstanceId|InstanceName|InstanceState|SecurityGroup|SecurityGroupId
i-092d0a5dd20ed79f5|BitcoinNode|stopped|BitcoinNodeSG|sg-0dee122f924a0cce4|[{'FromPort': 9999, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': 'bitcoind RPC'}], 'Ipv6Ranges': [{'CidrIpv6': '::/0', 'Description': 'bitcoind RPC'}], 'PrefixListIds': [], 'ToPort': 9999, 'UserIdGroupPairs': []}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-01c6d1903cebf2c8e|master-us-east-1c.masters.production-cluster.transport.pointpay.io|running|masters.production-cluster.transport.pointpay.io|sg-0d4eabf152d52f6fb|[{'FromPort': 4003, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-025f9a9d423e37e95', 'UserId': '232616530132'}]}, {'FromPort': 2382, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 4000, 'UserIdGroupPairs': [{'GroupId': 'sg-025f9a9d423e37e95', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-0d4eabf152d52f6fb', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 1, 'IpProtocol': 'udp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-025f9a9d423e37e95', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 2379, 'UserIdGroupPairs': [{'GroupId': 'sg-025f9a9d423e37e95', 'UserId': '232616530132'}]}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': []}]
i-0f73a2e775d564bbc|master-us-east-1c.masters.production-cluster-v2.pointpay.io|running|masters.production-cluster-v2.pointpay.io|sg-01180a807bd6fe839|[{'FromPort': 4003, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'FromPort': 2382, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 4000, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-01180a807bd6fe839', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'udp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 2379, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'FromPort': -1, 'IpProtocol': 'icmp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': -1, 'UserIdGroupPairs': [{'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '34.199.54.113/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.232.25.90/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.232.119.183/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.236.25.177/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '35.171.175.212/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.54.90.98/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.202.195.162/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.203.14.55/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.204.96.37/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.218.156.209/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.218.168.212/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.41.219.63/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '35.155.178.254/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '35.160.177.10/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.216.18.129/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.6.247.12/32', 'Description': 'awsfanatic'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': [{'Description': 'ProductionKubernetesVpnSG', 'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}]
i-034d42f3370db80b2|master-us-east-1c.masters.staging-cluster.pointpay.io|running|masters.staging-cluster.pointpay.io|sg-009d3f66d745613a0|[{'FromPort': 4003, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 2382, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 4000, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-009d3f66d745613a0', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 1, 'IpProtocol': 'udp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 2379, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': []}]
i-0fe90a62ffdfc1fe2|ProductionKubernetesVpn|stopped|ProductionKubernetesVpnSG|sg-0a1e25a83f8193ae2|[{'FromPort': 1194, 'IpProtocol': 'udp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': 'OpenVPN UDP'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 1194, 'UserIdGroupPairs': []}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': ''}], 'Ipv6Ranges': [{'CidrIpv6': '::/0', 'Description': ''}], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 4500, 'IpProtocol': 'udp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': 'IPsec'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 4500, 'UserIdGroupPairs': []}, {'FromPort': 500, 'IpProtocol': 'udp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': 'IPsec'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 500, 'UserIdGroupPairs': []}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': 'OpenVPN SSL'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': []}, {'FromPort': -1, 'IpProtocol': 'icmp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [{'CidrIpv6': '::/0'}], 'PrefixListIds': [], 'ToPort': -1, 'UserIdGroupPairs': []}]
i-0d5f31f346481685f|ProductionKubernetesOpenVpn|running|ProductionKubernetesVpnSG|sg-0a1e25a83f8193ae2|[{'FromPort': 1194, 'IpProtocol': 'udp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': 'OpenVPN UDP'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 1194, 'UserIdGroupPairs': []}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': ''}], 'Ipv6Ranges': [{'CidrIpv6': '::/0', 'Description': ''}], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 4500, 'IpProtocol': 'udp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': 'IPsec'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 4500, 'UserIdGroupPairs': []}, {'FromPort': 500, 'IpProtocol': 'udp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': 'IPsec'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 500, 'UserIdGroupPairs': []}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0', 'Description': 'OpenVPN SSL'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': []}, {'FromPort': -1, 'IpProtocol': 'icmp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [{'CidrIpv6': '::/0'}], 'PrefixListIds': [], 'ToPort': -1, 'UserIdGroupPairs': []}]
i-00babf111767ac6c3|EtheriumNode|stopped|EtheriumNodeSG|sg-09b491808438c236c|[{'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-086735ebb6fe24506|master-us-east-1a.masters.production-cluster.pointpaywallet.com|running|masters.production-cluster.pointpaywallet.com|sg-073b5a167b63bdfbe|[{'FromPort': 4003, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-03e1bf46dc3dced05', 'UserId': '232616530132'}]}, {'FromPort': 2382, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 4000, 'UserIdGroupPairs': [{'GroupId': 'sg-03e1bf46dc3dced05', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-073b5a167b63bdfbe', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 1, 'IpProtocol': 'udp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-03e1bf46dc3dced05', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 2379, 'UserIdGroupPairs': [{'GroupId': 'sg-03e1bf46dc3dced05', 'UserId': '232616530132'}]}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': []}]
i-076ca688d31a622df|gw.pointpay.io Admin|stopped|launch-wizard-1|sg-0c73e4e9f3f51105f|[{'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-072f7e0ee9c0387c2|Airdrop|stopped|launch-wizard-3|sg-0be48adf479c02795|[{'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-03ef7dee1a304117d|TokenSender|stopped|TokenSenderSG|sg-0d9a9e0ca3230d794|[{'FromPort': 80, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 80, 'UserIdGroupPairs': []}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-08c9055f06b1ebd94|nodes.production-cluster.transport.pointpay.io|running|nodes.production-cluster.transport.pointpay.io|sg-025f9a9d423e37e95|[{'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-0137f7a35921d10c1', 'UserId': '232616530132'}, {'GroupId': 'sg-025f9a9d423e37e95', 'UserId': '232616530132'}, {'GroupId': 'sg-0d4eabf152d52f6fb', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-05465df8885b0156d|nodes.production-cluster.transport.pointpay.io|running|nodes.production-cluster.transport.pointpay.io|sg-025f9a9d423e37e95|[{'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-0137f7a35921d10c1', 'UserId': '232616530132'}, {'GroupId': 'sg-025f9a9d423e37e95', 'UserId': '232616530132'}, {'GroupId': 'sg-0d4eabf152d52f6fb', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-089874b6660b1b98a|kafka-staging-forwarder|stopped|kafka-staging-forwarder-sg|sg-03a4ab5a90231c3df|[{'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [{'CidrIpv6': '::/0'}], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-05724a5663f67b5f8|BTC-NODE|running|launch-wizard-7|sg-07c06ba4e1a471041|[{'FromPort': 0, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': []}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-091b475b0510b4e7d|master-us-east-1a.masters.production-cluster-v2.pointpay.io|running|masters.production-cluster-v2.pointpay.io|sg-01180a807bd6fe839|[{'FromPort': 4003, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'FromPort': 2382, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 4000, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-01180a807bd6fe839', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'udp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 2379, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'FromPort': -1, 'IpProtocol': 'icmp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': -1, 'UserIdGroupPairs': [{'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '34.199.54.113/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.232.25.90/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.232.119.183/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.236.25.177/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '35.171.175.212/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.54.90.98/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.202.195.162/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.203.14.55/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.204.96.37/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.218.156.209/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.218.168.212/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.41.219.63/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '35.155.178.254/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '35.160.177.10/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.216.18.129/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.6.247.12/32', 'Description': 'awsfanatic'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': [{'Description': 'ProductionKubernetesVpnSG', 'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}]
i-06b6004dfdef72f74|master-us-east-1a.masters.staging-cluster.pointpay.io|running|masters.staging-cluster.pointpay.io|sg-009d3f66d745613a0|[{'FromPort': 4003, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 2382, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 4000, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-009d3f66d745613a0', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 1, 'IpProtocol': 'udp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 2379, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': []}]
i-0213bfee77293f383|ghost|running|Ghost Certified by Bitnami-3-42-0-0 on Debian 10-AutogenByAWSMP-|sg-08cef5cd7ad30deca|[{'FromPort': 80, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 80, 'UserIdGroupPairs': []}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': []}]
i-00a960876fa54f5eb|ClickHouse-Production|running|ClickHouse-Production|sg-0a8f833142e3d41c2|[{'FromPort': 9000, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 9000, 'UserIdGroupPairs': [{'Description': 'VPN', 'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 8123, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '52.6.247.12/32', 'Description': 'awsfanatic'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 8123, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}, {'Description': 'VPN', 'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}]
