InstanceId|InstanceName|InstanceState|SecurityGroup|SecurityGroupId
i-0a360f34b1c5474b1|master-us-east-1b.masters.production-cluster-v2.pointpay.io|running|masters.production-cluster-v2.pointpay.io|sg-01180a807bd6fe839|[{'FromPort': 4003, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'FromPort': 2382, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 4000, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-01180a807bd6fe839', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'udp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 2379, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}]}, {'FromPort': -1, 'IpProtocol': 'icmp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': -1, 'UserIdGroupPairs': [{'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '34.199.54.113/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.232.25.90/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.232.119.183/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.236.25.177/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '35.171.175.212/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.54.90.98/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.202.195.162/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.203.14.55/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.204.96.37/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.218.156.209/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.218.168.212/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.41.219.63/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '35.155.178.254/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '35.160.177.10/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '34.216.18.129/32', 'Description': 'Bitbucket Pipelines'}, {'CidrIp': '52.6.247.12/32', 'Description': 'awsfanatic'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': [{'Description': 'ProductionKubernetesVpnSG', 'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}]
i-037694fb1b5c0a9bb|master-us-east-1b.masters.staging-cluster.pointpay.io|running|masters.staging-cluster.pointpay.io|sg-009d3f66d745613a0|[{'FromPort': 4003, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 2382, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 4000, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-009d3f66d745613a0', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 1, 'IpProtocol': 'udp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 65535, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 1, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 2379, 'UserIdGroupPairs': [{'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 443, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 443, 'UserIdGroupPairs': []}]
i-0becb1c05165f7b2b|nodes.staging-cluster.pointpay.io|running|nodes.staging-cluster.pointpay.io|sg-0a2cedb752400da9a|[{'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-009d3f66d745613a0', 'UserId': '232616530132'}, {'GroupId': 'sg-020aa5c184113ffc4', 'UserId': '232616530132'}, {'GroupId': 'sg-063801124a71211fe', 'UserId': '232616530132'}, {'GroupId': 'sg-07c25a20e135a11a1', 'UserId': '232616530132'}, {'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-05ddb9251074c8940|nodes.production-cluster-v2.pointpay.io|running|nodes.production-cluster-v2.pointpay.io|sg-048a94783f75c5e31|[{'FromPort': 5432, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 5432, 'UserIdGroupPairs': [{'Description': 'clickhouse-production', 'GroupId': 'sg-0a8f833142e3d41c2', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-01180a807bd6fe839', 'UserId': '232616530132'}, {'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}, {'GroupId': 'sg-085f4c28fb5c5b6f0', 'UserId': '232616530132'}, {'GroupId': 'sg-0e5ccedb7c455d690', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '31.173.86.181/32', 'Description': 'awsfanatic'}, {'CidrIp': '52.6.247.12/32', 'Description': 'awsfanatic'}, {'CidrIp': '193.9.246.66/32', 'Description': 'awsfanatic'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-0b39b0f7376456553|nodes.production-cluster-v2.pointpay.io|running|nodes.production-cluster-v2.pointpay.io|sg-048a94783f75c5e31|[{'FromPort': 5432, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 5432, 'UserIdGroupPairs': [{'Description': 'clickhouse-production', 'GroupId': 'sg-0a8f833142e3d41c2', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-01180a807bd6fe839', 'UserId': '232616530132'}, {'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}, {'GroupId': 'sg-085f4c28fb5c5b6f0', 'UserId': '232616530132'}, {'GroupId': 'sg-0e5ccedb7c455d690', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '31.173.86.181/32', 'Description': 'awsfanatic'}, {'CidrIp': '52.6.247.12/32', 'Description': 'awsfanatic'}, {'CidrIp': '193.9.246.66/32', 'Description': 'awsfanatic'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-084a82c63c567e630|nodes.production-cluster-v2.pointpay.io|running|nodes.production-cluster-v2.pointpay.io|sg-048a94783f75c5e31|[{'FromPort': 5432, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 5432, 'UserIdGroupPairs': [{'Description': 'clickhouse-production', 'GroupId': 'sg-0a8f833142e3d41c2', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-01180a807bd6fe839', 'UserId': '232616530132'}, {'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}, {'GroupId': 'sg-085f4c28fb5c5b6f0', 'UserId': '232616530132'}, {'GroupId': 'sg-0e5ccedb7c455d690', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '31.173.86.181/32', 'Description': 'awsfanatic'}, {'CidrIp': '52.6.247.12/32', 'Description': 'awsfanatic'}, {'CidrIp': '193.9.246.66/32', 'Description': 'awsfanatic'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-04c78b017ee6e24f3|nodes.production-cluster-v2.pointpay.io|running|nodes.production-cluster-v2.pointpay.io|sg-048a94783f75c5e31|[{'FromPort': 5432, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 5432, 'UserIdGroupPairs': [{'Description': 'clickhouse-production', 'GroupId': 'sg-0a8f833142e3d41c2', 'UserId': '232616530132'}]}, {'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-01180a807bd6fe839', 'UserId': '232616530132'}, {'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}, {'GroupId': 'sg-085f4c28fb5c5b6f0', 'UserId': '232616530132'}, {'GroupId': 'sg-0e5ccedb7c455d690', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '31.173.86.181/32', 'Description': 'awsfanatic'}, {'CidrIp': '52.6.247.12/32', 'Description': 'awsfanatic'}, {'CidrIp': '193.9.246.66/32', 'Description': 'awsfanatic'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-0f15ce342b90a0a65|nodes.staging-cluster.pointpay.io|running|nodes.staging-cluster.pointpay.io|sg-0a2cedb752400da9a|[{'IpProtocol': '-1', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'UserIdGroupPairs': [{'GroupId': 'sg-009d3f66d745613a0', 'UserId': '232616530132'}, {'GroupId': 'sg-020aa5c184113ffc4', 'UserId': '232616530132'}, {'GroupId': 'sg-063801124a71211fe', 'UserId': '232616530132'}, {'GroupId': 'sg-07c25a20e135a11a1', 'UserId': '232616530132'}, {'GroupId': 'sg-0a2cedb752400da9a', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}]
i-0d879b4b908ffbf93|ClickHouse-PaySys|running|ClickHouse-Production|sg-0a8f833142e3d41c2|[{'FromPort': 9000, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 9000, 'UserIdGroupPairs': [{'Description': 'VPN', 'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 8123, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '52.6.247.12/32', 'Description': 'awsfanatic'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 8123, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}, {'Description': 'VPN', 'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}]
i-0a2603ef2afc1a5d7|ClickHouse-Bank|running|ClickHouse-Production|sg-0a8f833142e3d41c2|[{'FromPort': 9000, 'IpProtocol': 'tcp', 'IpRanges': [], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 9000, 'UserIdGroupPairs': [{'Description': 'VPN', 'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}, {'FromPort': 22, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '0.0.0.0/0'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 22, 'UserIdGroupPairs': []}, {'FromPort': 8123, 'IpProtocol': 'tcp', 'IpRanges': [{'CidrIp': '52.6.247.12/32', 'Description': 'awsfanatic'}], 'Ipv6Ranges': [], 'PrefixListIds': [], 'ToPort': 8123, 'UserIdGroupPairs': [{'GroupId': 'sg-048a94783f75c5e31', 'UserId': '232616530132'}, {'Description': 'VPN', 'GroupId': 'sg-0a1e25a83f8193ae2', 'UserId': '232616530132'}]}]
